Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Time	[l1]	[l13]	[l15]	[l135]	[c]
2.38526	0.204668	851.8	624.013	18.557	0.0534493	0	0.00161601	0.00220519	0.00118357	0.12708	44.1208
2.22266	0.272415	117.782	584.303	18.794	0.0411862	0	0.00316457	0.00063761	0.0156628	0.116296	53.0681
3.46739	0.169797	28.9723	693.829	18.9097	0.0674874	0	0.00479603	0.00020022	0.114186	0.180673	50.624
1.26189	0.179421	811.038	847.486	18.6022	0.07981	0	0.000760769	0.000727897	0.000794782	0.0671659	15.6551
2.30282	0.173235	819.788	251.836	17.1018	0.0551303	0	0.00214856	0.00698929	0.000659892	0.133205	41.3212
2.3404	0.287462	977.104	793.279	18.8648	0.0596421	0	0.00132176	0.00162746	0.00107278	0.122139	38.6326
2.61001	0.241836	382.247	882.181	17.0857	0.0511003	0	0.00206379	0.000893988	0.00475997	0.15052	50.3273
3.21166	0.216151	901.51	71.3652	17.7339	0.0585351	0	0.00330048	0.0415668	0.000261209	0.178378	54.0419
2.92763	0.291771	877.029	654.835	18.4562	0.0802817	0	0.00191079	0.002558	0.00142622	0.156066	35.8783
2.27078	0.120451	513.633	958.811	18.7407	0.0574592	0	0.00154206	0.000825973	0.00287793	0.120361	39.2566
3.30421	0.221717	627.397	394.975	17.0078	0.0431308	0	0.0032312	0.00512971	0.00203347	0.191643	75.5705
2.3638	0.239955	139.017	901.845	18.1592	0.0318681	0	0.00227048	0.000349895	0.0147039	0.128248	73.0784
1.70893	0.296639	582.321	361.103	17.1923	0.0689561	0	0.00181084	0.0029178	0.00112235	0.0976158	24.3378
3.15977	0.254583	958.537	446.819	18.5828	0.0456493	0	0.00224797	0.0048197	0.00104761	0.16763	68.2382
3.45505	0.3249	914.879	621.132	18.5587	0.072501	0	0.00224889	0.00331071	0.00152628	0.182844	46.8041
2.56884	0.219329	154.169	808.584	18.8651	0.043265	0	0.00266762	0.000508486	0.0139712	0.134407	58.6063
3.02365	0.288895	537.977	60.2982	18.3778	0.0795289	0	0.0050515	0.0448543	0.000565886	0.1612	37.2506
1.89574	0.12496	795.535	301.119	17.3317	0.0684131	0	0.00172846	0.00456457	0.000654139	0.108547	27.4992
2.76964	0.318559	217.522	886.144	17.0644	0.0609429	0	0.00250877	0.000615607	0.0102053	0.159086	44.5452
